,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
12,12.0,Italy,4596558,"+5,621",129828.0,+62,4338241.0,"+6,984",128489.0,548.0,76158.0,2151.0,86852737.0,1439013.0,60355786.0
13,13.0,Indonesia,4158731,"+5,376",138431.0,+315,3901766.0,"+14,356",118534.0,+0,15015.0,500.0,34340298.0,123987.0,276967468.0
14,14.0,Germany,4071607,"+12,667",93095.0,+55,3810100.0,"+8,600",168412.0,1217.0,48412.0,1107.0,70379237.0,836819.0,84103285.0
15,15.0,Mexico,3479999,"+14,828",266150.0,+730,2819991.0,"+10,962",393858.0,4798.0,26657.0,2039.0,10104334.0,77401.0,130545694.0
16,16.0,Poland,2892642,+528,75417.0,+8,2657981.0,+205,159244.0,78.0,76531.0,1995.0,20109569.0,532039.0,37797174.0
17,17.0,South Africa,2848925,"+5,883",84608.0,+281,2656534.0,"+18,828",107783.0,546.0,47325.0,1405.0,16987426.0,282189.0,60198734.0
18,18.0,Ukraine,2310554,"+3,615",54251.0,+76,2218873.0,"+1,310",37430.0,177.0,53214.0,1249.0,12217031.0,281367.0,43420220.0
19,19.0,Philippines,2179770,"+17,964",34899.0,+168,1969401.0,"+9,067",175470.0,3170.0,19582.0,314.0,19551016.0,175634.0,111316868.0
20,20.0,Peru,2158493,+0,198621.0,+0,+0,+0,+0,1131.0,64397.0,5926.0,17110053.0,510467.0,33518419.0
21,21.0,Netherlands,1966634,"+2,687",18062.0,+4,1874046.0,"+2,109",74526.0,213.0,114472.0,1051.0,16718169.0,973114.0,17180071.0
22,22.0,Iraq,1944125,"+4,717",21394.0,+61,1808692.0,"+7,298",114039.0,726.0,47079.0,518.0,14712587.0,356281.0,41294851.0
23,23.0,Malaysia,1940950,"+21,176",19827.0,+341,1678959.0,"+21,476",242164.0,1321.0,59068.0,603.0,23863926.0,726240.0,32859568.0
24,24.0,Czechia,1682475,+421,30413.0,+0,1648653.0,+8,3409.0,13.0,156762.0,2834.0,36736421.0,3422860.0,10732667.0
25,25.0,Chile,1643156,+510,37178.0,+19,1600353.0,+298,5625.0,529.0,85086.0,1925.0,20794130.0,1076766.0,19311646.0
26,26.0,Japan,1613841,"+10,397",16603.0,+78,1442637.0,"+18,724",154601.0,2125.0,12807.0,132.0,23031326.0,182767.0,126014576.0
27,27.0,Canada,1538093,"+4,604",27170.0,+36,1471725.0,"+3,518",39198.0,405.0,40331.0,712.0,41324700.0,1083606.0,38136287.0
28,28.0,Bangladesh,1527215,"+2,325",26832.0,+38,1472067.0,"+3,856",28316.0,1455.0,9165.0,161.0,9202790.0,55225.0,166643203.0
29,29.0,Thailand,1352953,"+14,403",13920.0,+189,1197391.0,"+15,610",141642.0,4387.0,19325.0,199.0,9201621.0,131435.0,70008775.0
30,30.0,Belgium,1203326,"+2,270",25447.0,+5,1105366.0,+0,72513.0,225.0,103292.0,2184.0,19062138.0,1636272.0,11649737.0
31,31.0,Pakistan,1197887,"+3,689",26580.0,+83,1079867.0,"+3,755",91440.0,5362.0,5301.0,118.0,18347597.0,81187.0,225991170.0
32,32.0,Israel,1154286,"+5,861",7321.0,+8,1063507.0,"+4,175",83458.0,672.0,123771.0,785.0,19843626.0,2127775.0,9326000.0
33,33.0,Sweden,1138017,+0,14662.0,+0,1094421.0,"+1,055",28934.0,58.0,111852.0,1441.0,11935233.0,1173077.0,10174298.0
34,34.0,Romania,1115901,"+2,520",34914.0,+41,1063360.0,+994,17627.0,543.0,58471.0,1829.0,11885786.0,622797.0,19084536.0
35,35.0,Portugal,1053450,"+1,323",17843.0,+7,996987.0,"+1,936",38620.0,118.0,103673.0,1756.0,17418955.0,1714255.0,10161242.0
